title,sinopse,produção,genero,data-lancamento,image
Estive em Lisboa e lembrei de você,"Baseado no romance homônimo de Luiz Ruffato, Sérgio de Souza Sampaio mora em Minas Gerais e trabalho na Companhia Industrial de Cataguases. Levando uma vida modesta, ele tem uma mudança no ano de 2005 e decide emigrar para Lisboa, em Portugal.",Refinaria Filmes ,Drama,16/06/2016,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Estive%20em%20Lisboa%20e%20lembrei%20de%20voc%C3%AA%20editado.jpg?itok=WnWC4_J6
Mais forte que o mundo - A história de José Aldo,"Baseado na história do expoente do MMA brasileiro José Aldo, o filme mostrará a vida de superação do lutador. Aldo vem de uma família grande e pobre de uma periferia de Manaus. Lutou para construir uma carreira de sucesso e passou por escolhas muito difíceis. Quando tem a oportunidade de lutar nos principais ringues da modalidade, José Aldo revela ser bem maior do que todos imaginavam. ",Black Maria,Biografia,16/06/2016,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Mais%20Forte%20que%20o%20Mundo%20-%20Aldo%20Poster%201.jpg?itok=5NxlKMi7
Trago  Comigo,"Telmo, um diretor de teatro aposentado, foi membro da luta armada durante a ditadura militar e chegou a ser preso por seis meses por conta disso. Porém, ele não consegue se lembrar de nada desse período, além de alguns lapsos momentâneos. Para tentar reativar sua memória e descobrir o que aconteceu, ele decide criar uma peça de teatro. Contando com um jovem elenco de atores, Telmo vai reconstruir a sua própria história.",Tangerina Entretenimento e Primo Filmes ,Drama,16/06/2016,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/trago%20comigo%20editado.jpg?itok=ysz6q9MB
Mundo Deserto de Almas Negras,"Em uma São Paulo ficcional, onde o centro rico e a periferia é branca, Oscar, um jovem advogado da elite negra aceita entregar celulares em um presídio para um mebro da Fundação do Crime. Oscar é assaltado no trânsito, perde os celulares e se vê perseguido pela Fundação que, na mesma noite, ataca violentamente a cidade. Enquanto Oscar luta pela sobrevivência, São Paulo se revela um mundo deserto.",HeavyBunker,Suspense,16/06/2016,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Cartaz%20Mundo%20Deserto%20de%20Almas%20Negras.jpg?itok=4Wbu4PzF
O Caseiro,"Davi, um cético professor de psicologia, é famoso por escrever um livro que explica aparições sobrenaturais através da psicanálise. Após anos sem atender pacientes, ele viaja para o interior buscando investigar o caso de um homem que acredita que sua filha vem sendo assombrada pelo fantasma do antigo caseiro de sua propriedade, que se suicidou.",Nexus Cinema e Vídeo,Suspense/Terror,23/06/2016,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/O%20Caseiro.jpg?itok=8npAU4Ci
Porta dos Fundos - Contrato Vitalício,"Miguel e Rodrigo são dois amigos que costumam realizar filmes juntos. Certa ocasião, um de seus filmes ganha um prêmio importante em um festival internacional. Animados com a premiação, os dois saem para comemorar e Rodrigo assina, em um guardanapo de bar, um contrato vitalício que garante que ele estaria em todos os filmes de Miguel dali para frente. No entanto, Miguel desaparece e só retorna dez anos depois. Quando reaparece, ele leva para Rodrigo, agora um ator consagrado, a proposta de um filme insano que pode destruir sua carreira.",Porta dos Fundos,Comédia,30/06/2016,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Porta%20dos%20Fundos%20-%20Contrato%20Vital%C3%ADcio.jpg?itok=5kDXXZ9Z
Paratodos,"A trajetória, a vida e os desafios de alguns atletas paralímpicos, que fazem parte das delegações brasileiras de natação, atletismo, canoagem e futebol, em fase de preparação para os Jogos Paralímpicos de 2016, no Rio de Janeiro. O dia-a-dia, a superação, os obstáculos, as alegrias, as tristezas de cada um dos atletas são objeto deste documentário, que também debate a questão da inclusão dos deficientes físicos na sociedade brasileira em geral.",Sala 12,Documentário,23/06/2016,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/paratodos%20editado.jpg?itok=VxrS1xOp
Futuro Junho,"Quatro trabalhadores em São Paulo são acompanhados durante algumas semanas antes da estreia da Copa do Mundo 2014. Uma exposição sobre expectativas e desilusões, entre momentos profissionais e de intimidade, que enfrentam ao viverem os desafios da maior metrópole do país.",VPRO,Documentário,30/06/2016,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/0001%20aletrado.jpg?itok=KgsIeyZn
A Morte de J.P. Cuenca,Um homem rouba a identidade e o nome do escritor João Paulo Cuenca para morrer em um prédio abandonado no centro do Rio de Janeiro. Inspirado em fatos reais. ,Duas Mariola,Documentário,30/06/2016,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/AMJPC_CartazAlta%20alterada.jpg?itok=8h-jy4LD
Menino 23 – Infâncias perdidas no Brasil,"As investigações do historiador Sidney Aguilar sobre tijolos marcados com a suástica nazista encontrados no interior do Brasil revelam a história de meninos órfãos e negros, vítimas de um projeto criminoso de eugenia. Aloisio Silva, o menino 23, sobreviveu para contar.",Giros,Documentário,07/07/2016,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/menino%2023%20editado.jpg?itok=KosMTUlb
Travessias,"Diferenças impostas por fronteiras culturais e geográficas implicam em travessias pessoais de pai e filha, de marido e mulher, e de mãe e filho.",Talicio Sirino,Drama ,07/07/2016,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/Travessias%20%20Editado_1.jpg?itok=qM3AKZv3
Sangue Azul,"Há vinte anos atrás, numa ilha vulcânica e paradisíaca, um menino de dez anos foi separado de sua irmã. O menino foi entregue por sua mãe a Kaleb, o ilusionista do Circo Netuno, que passava pela ilha. No continente, o menino aprendeu as artes do circo e do espírito, e ex-ilhéu se tornou Zolah, o Homem Bala. O circo volta a ilha, e os dois irmãos se reencontram.
","Lírio Ferreira, Beto Brant e Renato Ciasca - Drama Filmes",Drama,04/06/2015,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/P%C3%B4ster%20Nacional%20-%20Sangue%20Azul.jpg?itok=NBKyZOcq
Qualquer gato vira-lata 2,"Tati e Conrado viajam para resort no México no qual ele, professor, dará uma palestra. Ela decide organizar um pedido de casamento, com transmissão via internet para todos os amigos no Brasil. Marcelo, ex-namorado de Tati, acompanha tudo de longe e volta a ter esperanças quando Conrado responde o pedido com “Posso pensar?
",Tietê Produções e Raiz Produções,Comédia,04/06/2015,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/CARTAZ%20QGVL2.jpg?itok=idM1KHic
Quase Samba,"Teresa é uma cantora de rádio de uma periferia imaginária do Brasil. Em seu último mês de gravidez, três homens disputam seu coração e o destino do bebê. O amor toma a forma de conflito em uma fábula sobre a família contemporânea.
",Bananeira Filmes,Drama,11/06/2015,https://www.ancine.gov.br/sites/default/files/styles/brasil_nas_telas_thumb/public/quase%20samba.jpg?itok=5_k2PFdg
